"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"216","codmine02781","Kanyama",2021-11-02,"Sud-Kivu",57,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines","DPMER",NA,"iTSCI","Vert","None observed",NA,"IPIS"
"217","codmine02782","Kasilu",2021-05-26,"Sud-Kivu",10,"More than 2h walk","More than 2h walk","Cassitérite",NA,NA,"No data","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"Division des mines",NA,NA,NA,"iTSCI","Vert","None observed",NA,"IPIS - Madini"
"218","codmine02789","Mayi ya batoto",2021-05-31,"Sud-Kivu",15,"More than 2h walk","More than 2h walk","Cassitérite",NA,NA,"No data","Observed","FARDC","Une fois par mois",NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"iTSCI","Vert","Observed","Creuser, Lavage","IPIS - Madini"
"219","codmine02790","Mwangazi",2021-06-04,"Sud-Kivu",5,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","Observed","FARDC","Une fois par mois",NA,NA,NA,NA,"SAEMAPE",NA,NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - Madini"
"220","codmine02809","Kivukulu",2022-02-18,"Nord-Kivu",0,"More than 2h walk","More than 2h walk","Cassitérite",NA,NA,"No data","Observed","Maï-Maï FPP/AP","Plus d'une fois par semaine",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","None observed",NA,"IPIS - USAID"
"221","codmine02810","Katsape",2022-02-18,"Nord-Kivu",0,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","Observed","Maï-Maï FPP/AP","Aléatoire",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"222","codmine02814","Mamba",2022-09-28,"Tanganyika",70,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Plus d'une fois par semaine","Maï-Maï Hapa na pale","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Groupement",NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"223","codmine02853","Milanga Regeza",2022-02-12,"Sud-Kivu",78,"More than 2h walk","More than 2h walk","Or",NA,NA,"None observed","Observed","FARDC","Aléatoire","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"224","codmine02864","Musima 1",2021-11-21,"Sud-Kivu",550,"More than 2h walk","More than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois tous les 15 jours","Police Nationale Congolaise (sauf PMH)","Plus d'une fois par semaine",NA,NA,"SAEMAPE","Division des mines",NA,"Chefferie","No traceability program","None","Observed","Creuser","IPIS - USAID"
"225","codmine02880","Muta Sud",2021-09-22,"Sud-Kivu",55,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"Observed","Observed","FARDC","Une fois par semaine","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","Jaune","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Madini"
