"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","itsci","qualification","childunder15","childunder15work","project"
"276","codmine00848","Biriki",2021-06-03,"Sud-Kivu",40,"Less than 2h walk","Less than 2h walk","Cassitérite","Coltan",NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","Jaune","None observed",NA,"IPIS - Madini"
"277","codmine00849","Misumari",2021-06-01,"Sud-Kivu",30,"Less than 2h walk","Less than 2h walk","Cassitérite","Coltan",NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","Vert","None observed",NA,"IPIS - Madini"
"278","codmine00850","Mungwe",2021-06-02,"Sud-Kivu",15,"Less than 2h walk","Less than 2h walk","Coltan","Manganèse",NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","Vert","None observed",NA,"IPIS - Madini"
"279","codmine00853","Katandari",2021-05-28,"Sud-Kivu",30,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"280","codmine00854","Rubona",2021-06-03,"Sud-Kivu",120,"Less than 2h walk","Less than 2h walk","Or","Tourmaline",NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","Vert","Observed","Creuser, Concassage, Lavage, Traiter les déchets","IPIS - Madini"
"281","codmine00856","Kavumu",2021-05-29,"Sud-Kivu",25,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"282","codmine00867","Mashango",2021-05-19,"Sud-Kivu",70,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","Observed","Creuser, Lavage","IPIS - Madini"
"283","codmine00868","Fangere",2021-05-18,"Sud-Kivu",105,"Car or Motorbike","Car or Motorbike","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie",NA,"No traceability program","None","None observed",NA,"IPIS - Madini"
"284","codmine00875","Bishaka",2022-01-17,"Sud-Kivu",30,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"285","codmine00877","Kironge",2022-01-17,"Sud-Kivu",20,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"286","codmine00878","Mwamidjui",2022-01-16,"Sud-Kivu",30,"Less than 2h walk","Less than 2h walk","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","Observed","Creuser","IPIS - USAID"
